PARTE ELETRÔNICA,,,,,
Equipamento,Modelo,Dimensão,Peso,Valor Estimado,Link 
,,,,,
ESTRUTURA FISICA,,,,,
Tubo Esgoto, 6 metros 200mm,6m,12kg,R$400,https://www.obramax.com.br/tubo-esgoto-serie-normal-pvc-6m-dn200-fortlev-89407752/p
Adesivação Tubo ,Grafica Reinvent Print,-,,R$250, 21 96470-3615  - Renan Penco 
Vergalhão, 3/8 6 metros,6m,8kg,R$50,https://www.obramax.com.br/vergalhao-aco-nervurado-ca-50-10mm-3-8--barra-12m-89331886/p
Estribo para coluna 5/16 ,"Vergalhão Aço Nervurado CA-50 8mm 5/16"" Barra 12m ArcelorMittal",12m,4kg,R$40,https://www.obramax.com.br/vergalhao-aco-nervurado-ca-50-8mm-5-16--barra-12m-89213110/p
Concreto,1 m3,,,,
Curva PVC DN40,Curva 90 Curta Esgoto Série Normal PVC DN 40 Fortlev,,30g,R$5,https://www.obramax.com.br/curva-90-curta-esgoto-serie-normal-pvc-dn-40-fortlev-89290145/p?idsku=30867&gad_source=1&gad_campaignid=22733587674&gbraid=0AAAAA-yH-ARINSrhKR9XCr88dIPqV-vaJ&gclid=CjwKCAjwlaTGBhANEiwAoRgXBSqmyYrKpXKBoycwL5LgAwqerLNphX7jSteh90VNTw7nhD5FfMDR_RoCbCAQAvD_BwE
Tubo Esgoto ,Série Normal PVC DN40,4 cm x 4 cm x 600 cm,2kg,R$33,https://www.obramax.com.br/tubo-esgoto-serie-normal-pvc-6m-dn40-fortlev-89208805/p
Placa ferro 5 mm 20 cm x 10 cm,Placa De Ferro 5mm 10x20 Cm Chapa Aço Carbono Espessura 3/16,20cm x 10cm,,R$25,https://www.mercadolivre.com.br/placa-de-ferro-5mm-10x20-cm-chapa-aco-carbono-espessura-316/up/MLBU777889388#polycard_client=search-nordic&search_layout=stack&position=1&type=product&tracking_id=c50f85fa-c632-4265-902f-f7e31109c46a&wid=MLB4037032238&sid=search
Cap normal esgoto DN 200 fortlev,Fortlev,                      20 cm x7.5 cm x 20 cm,"0,5kg",R$100,https://www.obramax.com.br/cap-esgoto-serie-normal-pvc-dn-200-fortlev-89800312/p?idsku=74925&gad_source=1&gad_campaignid=22733587674&gbraid=0AAAAA-yH-ARINSrhKR9XCr88dIPqV-vaJ&gclid=CjwKCAjwlaTGBhANEiwAoRgXBeV9YohUZenlIHOdDvhLXVwsdrHkd_wraGmcPkeqLoQ7rCpUhdHGIxoCQeQQAvD_BwE
Tinta spray azul claro brilhante , Tinta Spray Mdf Plastico 400ml Eucatex ,-,,"R$22,90",https://br.shp.ee/W3dmkEA
Verniz antivandalismo bautech,"Antipichação Proteção Para Fachadas E Pedras 3,6l Quartzolit",-,"3,6l",R$255,https://produto.mercadolivre.com.br/MLB-5303670944-antipichaco-proteco-para-fachadas-e-pedras-36l-quartzolit-_JM?searchVariation=187083525889#polycard_client=search-nordic&searchVariation=187083525889&search_layout=stack&position=18&type=item&tracking_id=3660b3bd-4954-4a57-ac60-9b8737e1c742
Conjunto Pafafusos fixação camera e corneta,"6 conjuntos parafusos sextavados 5/16 3""",-,,R$15,Mat. Const. Ofertão (21) 99470-1303 
Fita isolante,Fita Isolante Imperial Slim 18mm 3M,-,,R$9,https://www.obramax.com.br/fita-isolante-imperial-slim-18mm-3m/p
Garra muro aço antivandalismo ,"Kit Garra Muro Aço Galvanizado 1,2m Caixa com 5 Unidades Calhaforte",                         5 cm x 15 cm x 130 cm,5kg,R$150,https://www.obramax.com.br/kit-garra-muro-12m-5-unidades-89075315/p
Garra chapeu chines antivandalismo,Acessório Antifurto FLAF, -,5kg,R$300,https://www.fortlight.com.br/produto/postes-e-acessorios/acessorio-antifurto/acessorio-antifurto/
Arame,Arame Galvanizado 1Kg Emprafe, 10m,1kg,                       R$15,https://www.obramax.com.br/arame-galvanizado-bitola-18-rolo-10m-89723914/p?idsku=63442&gad_source=1&gad_campaignid=22733587674&gbraid=0AAAAA-yH-ARINSrhKR9XCr88dIPqV-vaJ&gclid=CjwKCAjwlaTGBhANEiwAoRgXBT0qM0KPVBwQxmB8eV6QqQzeQdYncgRgtxLg_JBnmZNJP-54std97BoCv64QAvD_BwE
Madeira escoramento,3 unidades de madeira para escoramento 6m, 6m,-,                        R$115,Leo Madeira / madereira
